film_title,customers
IMPOSSIBLE PREJUDICE,"BILLY POULIN, CAROLE BARNETT, CAROLINE BOWMAN, DOLORES WAGNER, DWAYNE OLVERA, GERALD FULTZ, HOLLY FOX, JOSEPH JOY, JUDITH COX, RENEE LANE, RHONDA KENNEDY, SARA PERRY, THERESA WATSON, WALTER PERRYMAN"
INCH JET,"ANGELA HERNANDEZ, BOBBY BOUDREAU, BRETT CORNWELL, DWAYNE OLVERA, IAN STILL, JAVIER ELROD, KARL SEAL, KENT ARSENAULT, LORI WOOD, LUCILLE HOLMES, MAXINE SILVA, NORA HERRERA, NORMA GONZALES, PATSY DAVIDSON, TERRY CARLSON, TIM CARY, VICKI FIELDS, WILLIE HOWELL"
INDEPENDENCE HOTEL,"BENJAMIN VARNEY, BETTY WHITE, BEVERLY BROOKS, CHARLENE ALVAREZ, CLIFTON MALCOLM, DARLENE ROSE, ELMER NOE, FREDDIE DUGGAN, HERBERT KRUGER, IRENE PRICE, JULIA FLORES, LARRY THRASHER, LOIS BUTLER, LUCY WHEELER, MARILYN ROSS, MARSHA DOUGLAS, PEDRO CHESTNUT, SHEILA WELLS, VICTOR BARKLEY"
INDIAN LOVE,"BEN EASTER, CARRIE PORTER, CHRISTIAN JUNG, DELORES HANSEN, DONNA THOMPSON, ERICA MATTHEWS, ERIK GUILLEN, FERNANDO CHURCHILL, FLORENCE WOODS, HOLLY FOX, JAIME NETTLES, JESSE SCHILLING, MARIAN MENDOZA, STEPHEN QUALLS, VINCENT RALSTON, WALTER PERRYMAN"
INFORMER DOUBLE,"ADAM GOOCH, DIANA ALEXANDER, HOLLY FOX, JEREMY HURTADO, MARGARET MOORE"
INNOCENT USUAL,"ANN EVANS, AUDREY RAY, BERNARD COLBY, BRADLEY MOTLEY, BRETT CORNWELL, CLYDE TOBIAS, DARYL LARUE, DONNA THOMPSON, ELLA OLIVER, EVERETT BANDA, HARVEY GUAJARDO, HILDA HOPKINS, JEAN BELL, JESSIE BANKS, JIMMY SCHRADER, LENA JENSEN, LEON BOSTIC, MIKE WAY, MYRTLE FLEMING, PAULA BRYANT, REGINA BERRY, ROLAND SOUTH, TIM CARY, TRACEY BARRETT, WALLACE SLONE"
INSECTS STONE,"DENNIS GILMAN, GERALDINE PERKINS, HAROLD MARTINO, JAMIE WAUGH, JARED ELY, JIMMY SCHRADER, JOANNE ROBERTSON, JUAN FRALEY, KARL SEAL, KATHY JAMES, LAWRENCE LAWTON, MONICA HICKS, NORMAN CURRIER, RAMON CHOATE, SALLY PIERCE, STANLEY SCROGGINS, TAMMY SANDERS, TROY QUIGLEY"
INSIDER ARIZONA,"BOBBY BOUDREAU, CAROLYN PEREZ, CLAYTON BARBEE, DENNIS GILMAN, EDGAR RHOADS, JESSIE MILAM, JOEL FRANCISCO, JUAN FRALEY, KATHLEEN ADAMS, KATHY JAMES, KEN PREWITT, LEON BOSTIC, MARGIE WADE, MIGUEL BETANCOURT, MONICA HICKS, RAMONA HALE, RANDY GAITHER, SALLY PIERCE, VIRGIL WOFFORD"
INSTINCT AIRPORT,"BENJAMIN VARNEY, CAROL GARCIA, CATHY SPENCER, CHAD CARBONE, CHRISTINA RAMIREZ, DORIS REED, EDNA WEST, HAZEL WARREN, JACKIE LYNCH, JEFF EAST, JOSHUA MARK, JUDY GRAY, KATIE ELLIOTT, MARCUS HIDALGO, PENNY NEAL, RENEE LANE, SETH HANNON, TIM CARY"
INTENTIONS EMPIRE,"AUDREY RAY, BILL GAVIN, CASSANDRA WALTERS, DARRELL POWER, ERIKA PENA, EVERETT BANDA, FELIX GAFFNEY, HECTOR POINDEXTER, LINDA WILLIAMS, LUCY WHEELER, MARILYN ROSS, MELANIE ARMSTRONG, MICHEAL FORMAN, SARAH LEWIS, STANLEY SCROGGINS, TIMOTHY BUNN, VIVIAN RUIZ"
INTERVIEW LIAISONS,"BEVERLY BROOKS, EARL SHANKS, ELEANOR HUNT, ELIZABETH BROWN, EVA RAMOS, HEIDI LARSON, JACKIE LYNCH, JOEL FRANCISCO, LAURIE LAWRENCE, LONNIE TIRADO, MARIA MILLER, MARILYN ROSS, MARLENE WELCH, MARSHA DOUGLAS, MARTIN BALES, REGINALD KINDER, SHARON ROBINSON, TIM CARY, VANESSA SIMS, WILLIE MARKHAM"
INTOLERABLE INTENTIONS,"AMANDA CARTER, BERTHA FERGUSON, BRITTANY RILEY, EDUARDO HIATT, ERIN DUNN, GLEN TALBERT, MARCIA DEAN, OLGA JIMENEZ, YVONNE WATKINS"
INTRIGUE WORST,"ANDRE RAPP, BARRY LOVELACE, CHESTER BENNER, DORA MEDINA, DWIGHT LOMBARDI, ERNEST STEPP, EVERETT BANDA, FELICIA SUTTON, GERALDINE PERKINS, GILBERT SLEDGE, HOLLY FOX, IAN STILL, IRENE PRICE, JAY ROBB, JEFF EAST, JIM REA, MICHEAL FORMAN, MONICA HICKS, RITA GRAHAM"
INVASION CYCLONE,"ANGELA HERNANDEZ, ANNA HILL, BEVERLY BROOKS, BILLY POULIN, CECIL VINES, CLYDE TOBIAS, DERRICK BOURQUE, DIANE COLLINS, FREDDIE DUGGAN, HECTOR POINDEXTER, JAMIE RICE, JESSIE MILAM, JULIE SANCHEZ, LAWRENCE LAWTON, LEAH CURTIS, LORETTA CARPENTER, LUCY WHEELER, MANUEL MURRELL, NATHAN RUNYON, NELSON CHRISTENSON, NICOLE PETERSON, RAYMOND MCWHORTER, RHONDA KENNEDY, ROY WHITING, SANDRA MARTIN, TARA RYAN, TRACY COLE"
IRON MOON,"DANA HART, ERIN DUNN, GWENDOLYN MAY, JAMES GANNON, JENNIE TERRY, KATHERINE RIVERA, LAURIE LAWRENCE, LENA JENSEN, RYAN SALISBURY, TIMOTHY BUNN, VIRGIL WOFFORD"
ISHTAR ROCKETEER,"EDDIE TOMLIN, ELIZABETH BROWN, GEORGIA JACOBS, JACQUELINE LONG, LESLIE GORDON, LEWIS LYMAN, MORRIS MCCARTER"
ISLAND EXORCIST,"BRANDY GRAVES, BRENDA WRIGHT, CAROLE BARNETT, CATHERINE CAMPBELL, EDDIE TOMLIN, EDNA WEST, EMMA BOYD, FRANCIS SIKES, GERALDINE PERKINS, JARED ELY, JEFFERY PINSON, JORGE OLIVARES, JOY GEORGE, KIM CRUZ, LEWIS LYMAN, MARC OUTLAW, MARION OCAMPO, MORRIS MCCARTER, NEIL RENNER, NORMA GONZALES, PATRICIA JOHNSON, ROSA REYNOLDS, TAMMY SANDERS, TANYA GILBERT, THELMA MURRAY, WALLACE SLONE"
ITALIAN AFRICAN,"ALFREDO MCADAMS, CHARLES KOWALSKI, DEBBIE REYES, JAMES GANNON, KURT EMMONS, MELINDA FERNANDEZ"
JACKET FRISCO,"ANGELA HERNANDEZ, CLIFFORD BOWENS, DEBBIE REYES, EDGAR RHOADS, ERIC ROBERT, ESTHER CRAWFORD, GREGORY MAULDIN, HOLLY FOX, JOSHUA MARK, KENT ARSENAULT, KRISTIN JOHNSTON, LEO EBERT, MELISSA KING, SARA PERRY, SUSAN WILSON, TARA RYAN, TRAVIS ESTEP, VIOLA HANSON"
JADE BUNCH,"ALVIN DELOACH, BILL GAVIN, CAROLINE BOWMAN, CORY MEEHAN, DARYL LARUE, DORIS REED, ELLA OLIVER, HELEN HARRIS, JACKIE LYNCH, JOANN GARDNER, NORMAN CURRIER, ROBERTO VU, ROBIN HAYES, ROSS GREY, SAMUEL MARLOW, STANLEY SCROGGINS, SUE PETERS, SUSAN WILSON"
JAPANESE RUN,"AMANDA CARTER, ANDREA HENDERSON, BESSIE MORRISON, DOLORES WAGNER, JUAN FRALEY, SIDNEY BURLESON"
JASON TRAP,"ANN EVANS, ARTHUR SIMPKINS, BRUCE SCHWARZ, CORY MEEHAN, CURTIS IRBY, DIANA ALEXANDER, EVA RAMOS, GABRIEL HARDER, GERTRUDE CASTILLO, HARRY ARCE, HERBERT KRUGER, JOANN GARDNER, JON WILES, KEITH RICO, KIRK STCLAIR, LENA JENSEN, MARGIE WADE, MARSHA DOUGLAS, NATHANIEL ADAM, PEDRO CHESTNUT, ROLAND SOUTH, SARA PERRY, SHIRLEY ALLEN, TAMMY SANDERS"
JAWBREAKER BROOKLYN,"DALE RATCLIFF, GERALDINE PERKINS, HENRY BILLINGSLEY, IVAN CROMWELL, JOANNE ROBERTSON, JON WILES, KEN PREWITT, MARTHA GONZALEZ, MATTIE HOFFMAN, THOMAS GRIGSBY"
JAWS HARRY,"AMY LOPEZ, ANTONIO MEEK, ARLENE HARVEY, CLARA SHAW, DIANA ALEXANDER, ELAINE STEVENS, ELSIE KELLEY, HOLLY FOX, LEON BOSTIC, MAXINE SILVA, RHONDA KENNEDY, SUE PETERS, VERNON CHAPA, VIRGINIA GREEN"
JEDI BENEATH,"BARRY LOVELACE, BRUCE SCHWARZ, CATHY SPENCER, CHARLES KOWALSKI, CURTIS IRBY, DEANNA BYRD, DONALD MAHON, GLENDA FRAZIER, HEIDI LARSON, JACKIE LYNCH, KELLY KNOTT, LORI WOOD, LUIS YANEZ, LYNN PAYNE, MICHEAL FORMAN, NEIL RENNER, REGINA BERRY, ROGER QUINTANILLA, TIM CARY"
JEEPERS WEDDING,"BRITTANY RILEY, CECIL VINES, HEATHER MORRIS, JAIME NETTLES, JULIE SANCHEZ, LEAH CURTIS, LORETTA CARPENTER, MARY SMITH, NORA HERRERA, RALPH MADRIGAL, RAMONA HALE, ROBERTA HARPER, RODNEY MOELLER, STEVEN CURLEY, TONI HOLT, TONYA CHAPMAN"
JEKYLL FROGMEN,"CHRISTOPHER GRECO, DIANNE SHELTON, ELLEN SIMPSON, GLENDA FRAZIER, GUY BROWNLEE, JAMES GANNON, JESSIE MILAM, JOANNE ROBERTSON, JUNE CARROLL, KAY CALDWELL, KEITH RICO, MAX PITT, NEIL RENNER, PATRICK NEWSOM, SHANNON FREEMAN, TOM MILNER"
JEOPARDY ENCINO,"DIANA ALEXANDER, FREDERICK ISBELL, IAN STILL, JAY ROBB, KAREN JACKSON, KATHRYN COLEMAN, LOUISE JENKINS, MARILYN ROSS, PHYLLIS FOSTER, ROY WHITING"
JERICHO MULAN,"AMBER DIXON, ARLENE HARVEY, DENISE KELLY, ETHEL WEBB, GABRIEL HARDER, GAIL KNIGHT, GARY COY, JAMIE WAUGH, JESSICA HALL, JIMMIE EGGLESTON, MARSHALL THORN, MEGAN PALMER, MILDRED BAILEY, MORRIS MCCARTER, RUTH MARTINEZ, STEPHANIE MITCHELL, TIFFANY JORDAN"
JERK PAYCHECK,"ADAM GOOCH, AGNES BISHOP, ANITA MORALES, DIANNE SHELTON, DWAYNE OLVERA, ESTHER CRAWFORD, HEATHER MORRIS, HERBERT KRUGER, JEFFERY PINSON, KURT EMMONS, LILLIE KIM, LORI WOOD, MARIAN MENDOZA, NEIL RENNER, RICHARD MCCRARY, STEPHEN QUALLS, SUE PETERS, SUZANNE NICHOLS, VERA MCCOY"
JERSEY SASSY,"CONNIE WALLACE, ERIKA PENA, JORGE OLIVARES, LORRAINE STEPHENS, MATTHEW MAHAN, TERRENCE GUNDERSON"
JET NEIGHBORS,"ALICE STEWART, ALLAN CORNISH, BEVERLY BROOKS, CHRISTINE ROBERTS, DOROTHY TAYLOR, FRANCISCO SKIDMORE, JANICE WARD, JOE GILLILAND, MARSHA DOUGLAS, MISTY LAMBERT, NAOMI JENNINGS, PENNY NEAL, SONIA GREGORY, THEODORE CULP, VELMA LUCAS, VIOLET RODRIQUEZ, WALTER PERRYMAN, WENDY HARRISON"
JINGLE SAGEBRUSH,"BRENDA WRIGHT, CHAD CARBONE, ELSIE KELLEY, EVERETT BANDA, GERALDINE PERKINS, GLENN PULLEN, JIMMY SCHRADER, KAY CALDWELL, MARTHA GONZALEZ, MARTIN BALES, PAUL TROUT, PEDRO CHESTNUT, RONNIE RICKETTS"
JOON NORTHWEST,"ALAN KAHN, ANDREA HENDERSON, ANDREW PURDY, EDUARDO HIATT, ELMER NOE, ENRIQUE FORSYTHE, EVA RAMOS, HAZEL WARREN, KRISTIN JOHNSTON, LEWIS LYMAN, MILDRED BAILEY, MONICA HICKS, NICHOLAS BARFIELD, NORMAN CURRIER, PETER MENARD, THERESA WATSON, VALERIE BLACK"
JUGGLER HARDLY,"ALBERT CROUSE, ALMA AUSTIN, ANN EVANS, BOBBY BOUDREAU, BONNIE HUGHES, CARMEN OWENS, CHRISTIAN JUNG, CINDY FISHER, DARREN WINDHAM, DEREK BLAKELY, GERTRUDE CASTILLO, IVAN CROMWELL, JEFFERY PINSON, JESSE SCHILLING, JOEL FRANCISCO, JOSHUA MARK, KIM CRUZ, KRISTEN CHAVEZ, LEONA OBRIEN, LORI WOOD, MAXINE SILVA, NATHAN RUNYON, PHILIP CAUSEY, RAFAEL ABNEY, RAMON CHOATE, SAM MCDUFFIE, TIFFANY JORDAN, TIM CARY, TRACY COLE, VELMA LUCAS, VIRGINIA GREEN"
JUMANJI BLADE,"BRADLEY MOTLEY, ELLEN SIMPSON, GERTRUDE CASTILLO, HARVEY GUAJARDO, ISAAC OGLESBY, MARY SMITH, NAOMI JENNINGS, SHERRI RHODES"
JUMPING WRATH,"CARRIE PORTER, DANNY ISOM, DEBBIE REYES, DELORES HANSEN, GEORGE LINTON, HAROLD MARTINO, HERMAN DEVORE, JOANN GARDNER, JOSE ANDREW, JULIAN VEST, KRISTIN JOHNSTON, LENA JENSEN, LLOYD DOWD, MARIA MILLER, MARTHA GONZALEZ, MATTIE HOFFMAN, MIGUEL BETANCOURT, NORA HERRERA, PATRICK NEWSOM, REGINALD KINDER, SARA PERRY, SCOTT SHELLEY, SHANNON FREEMAN, SUSAN WILSON"
JUNGLE CLOSER,"DARLENE ROSE, ERIKA PENA, JENNY CASTRO, MARIO CHEATHAM, MITCHELL WESTMORELAND, RAY HOULE, RENEE LANE, SHARON ROBINSON, WILLIAM SATTERFIELD"
KANE EXORCIST,"ALBERTO HENNING, ALLISON STANLEY, CECIL VINES, CHARLES KOWALSKI, DALE RATCLIFF, FERNANDO CHURCHILL, IAN STILL, LUCILLE HOLMES, MARGARET MOORE, MELISSA KING, MILDRED BAILEY, VIRGINIA GREEN, WALTER PERRYMAN, YVONNE WATKINS"
KARATE MOON,"ADAM GOOCH, ANA BRADLEY, APRIL BURNS, DARREN WINDHAM, DELORES HANSEN, EILEEN CARR, EMMA BOYD, GARY COY, JESUS MCCARTNEY, JIMMY SCHRADER, JUAN FRALEY, LORI WOOD, LUCY WHEELER, MABEL HOLLAND, MARILYN ROSS, MATTHEW MAHAN, NINA SOTO, RAFAEL ABNEY, RICK MATTOX, SCOTT SHELLEY, THELMA MURRAY, THERESA WATSON, WESLEY BULL"
KICK SAVANNAH,"AMBER DIXON, CARRIE PORTER, CATHY SPENCER, CHARLIE BESS, CHRISTOPHER GRECO, CYNTHIA YOUNG, DENISE KELLY, EDITH MCDONALD, JO FOWLER, JUAN FRALEY, JUDITH COX, LORRAINE STEPHENS, MARGIE WADE, MARTHA GONZALEZ, MELINDA FERNANDEZ, MICHAEL SILVERMAN, RODNEY MOELLER, SARAH LEWIS, TERRANCE ROUSH, VIRGIL WOFFORD"
KILLER INNOCENT,"BRENT HARKINS, CAROLINE BOWMAN, EDWARD BAUGH, KELLY TORRES, PATRICK NEWSOM, PERRY SWAFFORD"
KING EVOLUTION,"ALLEN BUTTERFIELD, BRAD MCCURDY, DEBBIE REYES, HAZEL WARREN, IAN STILL, JEFFERY PINSON, JOHNNIE CHISHOLM, MITCHELL WESTMORELAND, RAYMOND MCWHORTER"
KISS GLORY,"ALICIA MILLS, ANDREA HENDERSON, BETH FRANKLIN, EDNA WEST, EILEEN CARR, GERALD FULTZ, GILBERT SLEDGE, HAROLD MARTINO, JOHN FARNSWORTH, JUSTIN NGO, MARTHA GONZALEZ, MAURICE CRAWLEY, MELINDA FERNANDEZ, NATHANIEL ADAM, PAULA BRYANT, RAMON CHOATE, REGINALD KINDER, ROSEMARY SCHMIDT, ROY WHITING, WADE DELVALLE, WILMA RICHARDS"
KISSING DOLLS,"ALEX GRESHAM, BECKY MILES, CATHY SPENCER, DALE RATCLIFF, EVERETT BANDA, GERALD FULTZ, GLENDA FRAZIER, KATHRYN COLEMAN, LEWIS LYMAN, LORI WOOD, MARIO CHEATHAM, MATTHEW MAHAN, MAX PITT, MICHAEL SILVERMAN, MISTY LAMBERT, PATSY DAVIDSON, RITA GRAHAM, ROSS GREY, TAMARA NGUYEN, VIOLET RODRIQUEZ"
KNOCK WARLOCK,"ALAN KAHN, BEATRICE ARNOLD, BENJAMIN VARNEY, BILL GAVIN, BONNIE HUGHES, CAROLYN PEREZ, CHARLENE ALVAREZ, CLAUDE HERZOG, CLIFFORD BOWENS, DAVE GARDINER, FLOYD GANDY, GAIL KNIGHT, GILBERT SLEDGE, JEROME KENYON, JOSEPHINE GOMEZ, MARGARET MOORE, MARIE TURNER, MICHELLE CLARK, PHILLIP HOLM, RANDY GAITHER, ROSE HOWARD, SARAH LEWIS, VIOLA HANSON"
KRAMER CHOCOLATE,"ANTHONY SCHWAB, CALVIN MARTEL, DARREN WINDHAM, DWIGHT LOMBARDI, FLORENCE WOODS, GLEN TALBERT, HUGH WALDROP, KATHY JAMES, MANUEL MURRELL"
KWAI HOMEWARD,"ALLEN BUTTERFIELD, BILL GAVIN, CLIFFORD BOWENS, DANNY ISOM, DUANE TUBBS, ELLA OLIVER, FELICIA SUTTON, GABRIEL HARDER, GERALDINE PERKINS, GREG ROBINS, HAROLD MARTINO, HARRY ARCE, JEAN BELL, JESSE SCHILLING, JOANNE ROBERTSON, JOE GILLILAND, KEITH RICO, MEGAN PALMER, MELVIN ELLINGTON, SALLY PIERCE, SAM MCDUFFIE, TYLER WREN"
LABYRINTH LEAGUE,"CECIL VINES, CHAD CARBONE, COREY HAUSER, DOLORES WAGNER, DORIS REED, GLEN TALBERT, JULIAN VEST, KEN PREWITT, LOIS BUTLER, LORETTA CARPENTER, MARCIA DEAN, MARTIN BALES, NELLIE GARRETT, VERONICA STONE, WALTER PERRYMAN"
LADY STAGE,"ANNETTE OLSON, DOLORES WAGNER, ELEANOR HUNT, ELLEN SIMPSON, ETHEL WEBB, FELIX GAFFNEY, JENNIE TERRY, JENNY CASTRO, JO FOWLER, LONNIE TIRADO, MARIE TURNER, MIKE WAY, NINA SOTO, RUTH MARTINEZ, SAM MCDUFFIE, TERRI VASQUEZ, VICKI FIELDS"
LADYBUGS ARMAGEDDON,"ALAN KAHN, DEBRA NELSON, DEREK BLAKELY, JULIE SANCHEZ, THERESA WATSON, WESLEY BULL"
LAMBS CINCINATTI,"DEREK BLAKELY, GLEN TALBERT, JOE GILLILAND, LISA ANDERSON, MAX PITT, MAXINE SILVA, RICARDO MEADOR, SARA PERRY, TONYA CHAPMAN, WAYNE TRUONG"
LANGUAGE COWBOY,"BRAD MCCURDY, DEBBIE REYES, JEAN BELL, JENNIE TERRY, JIMMY SCHRADER, JOSEPHINE GOMEZ, LEONA OBRIEN, MARTHA GONZALEZ, MICHAEL SILVERMAN, ROSEMARY SCHMIDT, SARA PERRY"
LAWLESS VISION,"AMY LOPEZ, CYNTHIA YOUNG, DIANE COLLINS, DIANNE SHELTON, DORIS REED, ESTHER CRAWFORD, FRANCISCO SKIDMORE, GAIL KNIGHT, HEATHER MORRIS, LOUIS LEONE, MINNIE ROMERO, NATHAN RUNYON, PEDRO CHESTNUT, STEPHEN QUALLS, TODD TAN, TRACY HERRMANN, WARREN SHERROD"
LAWRENCE LOVE,"ALLEN BUTTERFIELD, CARMEN OWENS, DANIELLE DANIELS, ELIZABETH BROWN, EMILY DIAZ, JASON MORRISSEY, JOANNE ROBERTSON, KIMBERLY LEE, LEONARD SCHOFIELD, MARJORIE TUCKER, RAYMOND MCWHORTER, SHEILA WELLS, WILLIAM SATTERFIELD"
LEAGUE HELLFIGHTERS,"APRIL BURNS, ARNOLD HAVENS, ARTHUR SIMPKINS, CATHY SPENCER, DIANA ALEXANDER, HARVEY GUAJARDO, JARED ELY, JEANNE LAWSON, JEFFREY SPEAR, KATHLEEN ADAMS, MARION OCAMPO, PERRY SWAFFORD, RHONDA KENNEDY, SHANNON FREEMAN, STELLA MORENO, THEODORE CULP, WENDY HARRISON"
LEATHERNECKS DWARFS,"CHERYL MURPHY, CLIFTON MALCOLM, ENRIQUE FORSYTHE, FRANK WAGGONER, MARIE TURNER, SHAWN HEATON, YOLANDA WEAVER"
LEBOWSKI SOLDIERS,"ANDREW PURDY, ARLENE HARVEY, CHERYL MURPHY, CLARA SHAW, CLINTON BUFORD, CYNTHIA YOUNG, EDNA WEST, GLORIA COOK, GREG ROBINS, HOWARD FORTNER, JENNIFER DAVIS, JERRY JORDON, JONATHAN SCARBOROUGH, JULIA FLORES, LESLIE GORDON, RAMON CHOATE, RITA GRAHAM, ROBERTO VU, RUBY WASHINGTON, SERGIO STANFIELD, TINA SIMMONS"
LEGALLY SECRETARY,"CATHERINE CAMPBELL, CHESTER BENNER, DANA HART, DELORES HANSEN, GINA WILLIAMSON, JEANETTE GREENE, KENNETH GOODEN, RAFAEL ABNEY, RYAN SALISBURY"
LEGEND JEDI,"ANA BRADLEY, JOHN FARNSWORTH, JOSE ANDREW, MARIA MILLER, MORRIS MCCARTER, RAYMOND MCWHORTER, RODNEY MOELLER, TERRI VASQUEZ, VIOLET RODRIQUEZ"
LESSON CLEOPATRA,"ARTHUR SIMPKINS, CRYSTAL FORD, DAWN SULLIVAN, DEBRA NELSON, DELORES HANSEN, VICKI FIELDS, WALTER PERRYMAN"
LIAISONS SWEET,"AARON SELBY, BERNICE WILLIS, CRYSTAL FORD, DORA MEDINA, ELAINE STEVENS, FERNANDO CHURCHILL, GILBERT SLEDGE, GORDON ALLARD, GWENDOLYN MAY, JANE BENNETT, JEFFERY PINSON, JIMMIE EGGLESTON, KIMBERLY LEE, LEON BOSTIC, MARIAN MENDOZA, MIRIAM MCKINNEY, NELLIE GARRETT, PATRICIA JOHNSON, RANDY GAITHER, WESLEY BULL, WILLIAM SATTERFIELD"
LIBERTY MAGNIFICENT,"ALVIN DELOACH, ANGELA HERNANDEZ, ANNA HILL, ARTHUR SIMPKINS, BETH FRANKLIN, DENISE KELLY, DEREK BLAKELY, JACQUELINE LONG, KRISTIN JOHNSTON, LAURA RODRIGUEZ, NAOMI JENNINGS, REBECCA SCOTT"
LICENSE WEEKEND,"CYNTHIA YOUNG, DARREN WINDHAM, HUGH WALDROP, JIM REA, JOYCE EDWARDS, LORI WOOD, LORRAINE STEPHENS"
LIES TREATMENT,"ALEXANDER FENNELL, ANDRE RAPP, ASHLEY RICHARDSON, BRAD MCCURDY, CHAD CARBONE, DAISY BATES, DANNY ISOM, ELMER NOE, IRENE PRICE, JAMES GANNON, JAY ROBB, JERRY JORDON, JIMMY SCHRADER, JOSHUA MARK, KYLE SPURLOCK, LEE HAWKS, MARCUS HIDALGO, MATHEW BOLIN, MELINDA FERNANDEZ, NEIL RENNER, RAY HOULE, RAYMOND MCWHORTER, RICKY SHELBY, RODNEY MOELLER, SUSAN WILSON, TINA SIMMONS"
LIFE TWISTED,"ARMANDO GRUBER, BESSIE MORRISON, BRANDY GRAVES, BYRON BOX, DAWN SULLIVAN, DEAN SAUER, FRANK WAGGONER, JEFFERY PINSON, MARJORIE TUCKER, ROLAND SOUTH"
LIGHTS DEER,"DARYL LARUE, EDGAR RHOADS, GLORIA COOK, JUSTIN NGO, LOIS BUTLER, TANYA GILBERT, TARA RYAN, WADE DELVALLE"
LION UNCUT,"BARRY LOVELACE, BECKY MILES, CHARLES KOWALSKI, CLAUDIA FULLER, EVERETT BANDA, FELIX GAFFNEY, FRANKLIN TROUTMAN, HEIDI LARSON, IVAN CROMWELL, JEREMY HURTADO, LUCILLE HOLMES, MELISSA KING, ROBERTO VU, ROGER QUINTANILLA, ROSEMARY SCHMIDT, SHERRI RHODES, TIM CARY, WANDA PATTERSON"
LOATHING LEGALLY,"ALICIA MILLS, APRIL BURNS, ASHLEY RICHARDSON, BILLY POULIN, BYRON BOX, CODY NOLEN, DEANNA BYRD, DELORES HANSEN, FRANKLIN TROUTMAN, HELEN HARRIS, JESSIE MILAM, LANCE PEMBERTON, LEONARD SCHOFIELD, MANUEL MURRELL, MAXINE SILVA, MILTON HOWLAND, NICHOLAS BARFIELD, REBECCA SCOTT, REGINALD KINDER, RICKY SHELBY, ROBERT BAUGHMAN, ROBIN HAYES, SARAH LEWIS, SHERRI RHODES, TAMARA NGUYEN, TERRY GRISSOM, THEODORE CULP"
LOCK REAR,"ALLISON STANLEY, AMY LOPEZ, BOBBIE CRAIG, BRAD MCCURDY, CHARLOTTE HUNTER, CLYDE TOBIAS, ELMER NOE, FELIX GAFFNEY, HELEN HARRIS, HERBERT KRUGER, JERRY JORDON, JESSE SCHILLING, MARCUS HIDALGO, MARTHA GONZALEZ, RUSSELL BRINSON, TERRY GRISSOM"
LOLA AGENT,"AUSTIN CINTRON, BERNARD COLBY, BRANDY GRAVES, CASSANDRA WALTERS, CLARA SHAW, FRANCISCO SKIDMORE, HAROLD MARTINO, HELEN HARRIS, JACQUELINE LONG, JEROME KENYON, JOSE ANDREW, KEN PREWITT, LEE HAWKS, LENA JENSEN, LEON BOSTIC, LUCILLE HOLMES, MARK RINEHART, RACHEL BARNES, ROBERTO VU, SERGIO STANFIELD, SIDNEY BURLESON, TOMMY COLLAZO, VICKI FIELDS"
LOLITA WORLD,"GLADYS HAMILTON, GLENN PULLEN, MABEL HOLLAND, MARCUS HIDALGO, MARILYN ROSS, PENNY NEAL, ROGER QUINTANILLA, RON DELUCA, SEAN DOUGLASS, WILLIE MARKHAM"
LONELY ELEPHANT,"ANN EVANS, ANNIE RUSSELL, BECKY MILES, DEANNA BYRD, FRANK WAGGONER, GEORGE LINTON, JESUS MCCARTNEY, JOHNNY TURPIN, KARL SEAL, LEO EBERT, MARLENE WELCH, OSCAR AQUINO, SUE PETERS, THEODORE CULP, VERA MCCOY"
LORD ARIZONA,"BILLY POULIN, BRENT HARKINS, FRANCIS SIKES, GREG ROBINS, HECTOR POINDEXTER, JORDAN ARCHULETA, JUNE CARROLL, KATHRYN COLEMAN, NORA HERRERA, ROY WHITING, WILLIAM SATTERFIELD"
LOSE INCH,"AMBER DIXON, ANNA HILL, BESSIE MORRISON, BRANDON HUEY, CARMEN OWENS, DAISY BATES, DERRICK BOURQUE, DIANE COLLINS, EARL SHANKS, EDITH MCDONALD, ESTHER CRAWFORD, GERALD FULTZ, GERALDINE PERKINS, JESSICA HALL, JORGE OLIVARES, JUSTIN NGO, KEVIN SCHULER, KIMBERLY LEE, MARGARET MOORE, MARION SNYDER, MARTHA GONZALEZ, MICHELLE CLARK, REGINA BERRY, ROSE HOWARD, SIDNEY BURLESON, WESLEY BULL"
LOSER HUSTLER,"DANNY ISOM, FRANCIS SIKES, GLADYS HAMILTON, JESSIE MILAM, JOSEPH JOY, KAREN JACKSON, KEITH RICO, MARIA MILLER, NORMAN CURRIER, RHONDA KENNEDY, RUBY WASHINGTON, RUTH MARTINEZ, SHIRLEY ALLEN, THEODORE CULP, TYRONE ASHER"
LOST BIRD,"ANTONIO MEEK, BILLIE HORTON, CLAUDE HERZOG, GUY BROWNLEE, KEVIN SCHULER, MARILYN ROSS, NAOMI JENNINGS, RUSSELL BRINSON, SCOTT SHELLEY, STELLA MORENO, TERRENCE GUNDERSON, WALLACE SLONE"
LOUISIANA HARRY,"AMY LOPEZ, ANDREA HENDERSON, BRANDY GRAVES, CHRISTY VARGAS, CRYSTAL FORD, DANA HART, DEAN SAUER, HAZEL WARREN, HOWARD FORTNER, JILL HAWKINS, JONATHAN SCARBOROUGH, KEITH RICO, MARSHA DOUGLAS, MICHELE GRANT, PAULA BRYANT, RAY HOULE, TRACY HERRMANN"
